City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
347,chara,20,GR,1523123400,67,39.42,22.43,57.2,8.05
348,salyan,0,AZ,1523127422,96,39.59,48.98,47.97,5.06
349,fort nelson,5,CA,1523124000,34,58.81,-122.69,21.2,4.38
350,camopi,100,GF,1523127422,90,3.17,-52.33,77.58,2.71
351,lavrentiya,8,RU,1523127423,100,65.58,-170.99,11.62,7.63
352,honningsvag,88,NO,1523127423,99,70.98,25.97,30.25,7.18
353,hasaki,40,JP,1523124000,93,35.73,140.83,42.8,2.24
354,sedhiou,0,SN,1523124000,29,12.71,-15.56,102.2,9.17
355,santa maria,20,BR,1523124000,48,-29.69,-53.81,87.8,4.7
356,stantsionno-oyashinskiy,12,RU,1523127436,88,55.47,83.82,25.75,3.94
357,neyshabur,76,IR,1523127436,57,36.21,58.79,48.97,14.23
358,arraial do cabo,40,BR,1523124000,69,-22.97,-42.02,82.4,16.11
359,auki,0,NG,1523127437,18,12.18,6.51,88.2,6.73
360,rock sound,12,BS,1523127437,100,24.9,-76.2,77.95,9.75
361,kortkeros,90,RU,1523124000,100,61.81,51.56,33.8,4.47
362,aipe,40,CO,1523124000,52,3.22,-75.24,87.8,9.17
363,sokolo,0,ML,1523127439,15,14.74,-6.12,100.62,5.61
364,djenne,0,ML,1523127429,19,13.91,-4.55,99.45,4.83
365,bundaberg,68,AU,1523127440,97,-24.87,152.35,76.5,19.71
366,oranjestad,44,AW,1523127440,95,12.52,-70.03,80.02,14.67
367,biak,0,ID,1523127441,100,-0.91,122.88,74.7,3.04
368,sheregesh,92,RU,1523127432,99,52.93,87.98,35.1,2.37
369,lyuban,0,BY,1523127442,74,52.8,28.0,43.2,2.93
370,rantepao,20,ID,1523127432,100,-2.97,119.9,64.62,1.81
371,nalut,88,LY,1523127443,17,31.86,10.98,81.45,10.2
372,lahij,24,YE,1523127444,73,13.06,44.88,78.4,4.27
373,katangli,88,RU,1523127434,90,51.71,143.23,23.58,6.73
374,izhma,64,RU,1523127434,69,65.01,53.91,38.25,9.53
375,mount isa,56,AU,1523125800,64,-20.73,139.49,69.8,3.36
376,tres arroyos,0,AR,1523127445,68,-38.38,-60.28,65.35,4.94
377,sur,0,OM,1523127435,76,22.57,59.53,83.62,4.94
378,kyabe,8,TD,1523127436,42,9.45,18.94,88.47,7.96
379,naifaru,0,MV,1523127436,100,5.44,73.37,85.23,4.16
380,petrolina,75,BR,1523124000,62,-9.38,-40.5,84.2,6.93
