,Compound,Negative,Neutral,Positive,Time Stamp,Tweet,Tweet_Ago,User
103,0.505,0.0,0.789,0.211,03-09-2018 19:27:09,"Q: Why did the president accept this invitation without any preconditions? For example, without demanding the North… https://t.co/WRdRsKowre",3,@CBSNews
104,0.8074,0.0,0.601,0.399,03-09-2018 15:20:35,"These emperor penguins found a camera in Antarctica and snapped a pretty great ""selfie.""🐧 📷 https://t.co/NbbULUIIJY",4,@CBSNews
105,0.3818,0.0,0.885,0.115,03-09-2018 13:12:44,"RT @CBSThisMorning: Florida Senator @MarcoRubio says the ""fundamental question is whether or not Kim Jong-un will ever accept not having nu…",5,@CBSNews
106,0.4019,0.0,0.886,0.114,03-09-2018 12:00:01,House Intel Committee's plan to build a physical wall to separate the staffs of the two parties has been put on hol… https://t.co/wVkPQCWOdO,6,@CBSNews
107,-0.5859,0.275,0.725,0.0,03-09-2018 07:48:04,Mark Cuban sexual assault allegations being reviewed by NBA https://t.co/nE7OwSAw8i https://t.co/z6JQNOzazb,7,@CBSNews
108,-0.9349,0.485,0.515,0.0,03-09-2018 03:05:01,Therapist testifies New York City nanny wasn’t suicidal or murderous days before killings of two children.… https://t.co/Z7yRsz3Lke,8,@CBSNews
109,0.0,0.0,1.0,0.0,03-08-2018 23:48:44,"@CBSNews .@jillonmoney on new steel &amp; aluminum tariffs: ""If you work for a steel or an aluminum producer, it's prob… https://t.co/DpijwsH8Kr",9,@CBSNews
110,0.0,0.0,1.0,0.0,03-08-2018 20:11:01,President Trump will sign proclamations that will institute a 25 percent tariff on steel and a 10 percent tariff on… https://t.co/1x53iEhFv1,10,@CBSNews
111,-0.128,0.174,0.632,0.194,03-08-2018 15:45:31,"""There's a good chance I get murdered tonight,"" one Twitter user wrote after his Alexa let out an unprovoked, eerie… https://t.co/64rbNb301O",11,@CBSNews
112,-0.743,0.348,0.523,0.129,03-08-2018 13:06:53,"“Tariffs always hurt us. Ultimately nobody ever wins a trade war. Both sides lose a trade war...We need more trade,… https://t.co/m2XsX5zM2V",12,@CBSNews
113,0.7783,0.0,0.657,0.343,03-08-2018 12:01:01,Powerball winning numbers announced for $348 million jackpot. And the winning numbers are... https://t.co/mkkhnhcVY6 https://t.co/nHzxWZJAat,13,@CBSNews
114,-0.4215,0.189,0.811,0.0,03-08-2018 07:18:04,"Oprah Winfrey explores revolutionary approach to childhood trauma for ""60 Minutes"" https://t.co/wgyDlQJQoE https://t.co/CPN5nZAkJm",14,@CBSNews
115,-0.4939,0.211,0.789,0.0,03-08-2018 03:00:09,"Unattended bag prompts bomb squad response at Houston airport, police say https://t.co/MnwmXIh15y https://t.co/2yzoC7P5gN",15,@CBSNews
116,-0.3612,0.116,0.884,0.0,03-07-2018 23:10:03,As nor'easter strikes -- potentially dropping more than a foot of snow in some places -- whiteout conditions make d… https://t.co/dX0mUDvtO8,16,@CBSNews
117,-0.2263,0.091,0.909,0.0,03-07-2018 18:01:16,"California Gov. Jerry Brown responds to federal immigration lawsuit against the state: ""I do think this is pure red… https://t.co/h89fmElU6i",17,@CBSNews
118,0.4215,0.0,0.774,0.226,03-07-2018 15:34:52,"“Let’s be clear, I think to say ‘arming teachers’ — is an oversimplification and a mischaracterization,” Education… https://t.co/tRm6UOCvWC",18,@CBSNews
119,-0.296,0.091,0.909,0.0,03-07-2018 13:04:58,Tens of millions of people in the east are dealing with the second big storm in a week. Winter storm warnings are a… https://t.co/kvc0UxgGfZ,19,@CBSNews
